ADM_NAME,region,maize_planting,maize_endofseaso,multi_planting,multi_endofseaso,n_same_calendar_crops,same_calendar_crops,windows_differ
CAHAMA,Central,305,152,305,121,1,Maize 1,True
CUANGAR,Central,305,152,305,121,1,Maize 1,True
CUANHAMA,Central,305,152,305,121,1,Maize 1,True
CUCHI,Central,305,152,305,121,1,Maize 1,True
CUITO CUANAVALE,Central,305,152,305,121,1,Maize 1,True
CUVELAI,Central,305,152,305,121,1,Maize 1,True
MENONGUE,Central,305,152,305,121,1,Maize 1,True
NAMAKUNDE,Central,305,152,305,121,1,Maize 1,True
OMBADJA,Central,305,152,305,121,1,Maize 1,True
BAROLONG,Eastern,320,152,320,136,1,Maize 1,True
BOBONONG,Eastern,320,152,320,136,1,Maize 1,True
CHOBE,Eastern,320,152,320,136,1,Maize 1,True
KGATLENG,Eastern,320,152,320,136,1,Maize 1,True
KWENENG NORTH,Eastern,320,152,320,136,1,Maize 1,True
KWENENG SOUTH,Eastern,320,152,320,136,1,Maize 1,True
MACHANENG,Eastern,320,152,320,136,1,Maize 1,True
MAHALAPYE,Eastern,320,152,320,136,1,Maize 1,True
MASUNGU,Eastern,320,152,320,136,1,Maize 1,True
NGWAKETSE NORTH,Eastern,320,152,320,136,1,Maize 1,True
NGWAKETSE SOUTH,Eastern,320,152,320,136,1,Maize 1,True
PALAPYE,Eastern,320,152,320,136,1,Maize 1,True
SEROWE,Eastern,320,152,320,136,1,Maize 1,True
TUTUME,Eastern,320,152,320,136,1,Maize 1,True
BALÉ,Central,121,350,305,121,1,Maize 1,True
BAM,Central,121,350,305,121,1,Maize 1,True
BANWA,Central,121,350,305,121,1,Maize 1,True
BAZÈGA,Central,121,350,305,121,1,Maize 1,True
BOULGOU,Central,121,350,305,121,1,Maize 1,True
BOULKIEMDÉ,Central,121,350,305,121,1,Maize 1,True
COMOÉ,Central,121,350,305,121,1,Maize 1,True
GANZOURGOU,Central,121,350,305,121,1,Maize 1,True
GOURMA,Central,121,350,305,121,1,Maize 1,True
HOUET,Central,121,350,305,121,1,Maize 1,True
KADIOGO,Central,121,350,305,121,1,Maize 1,True
KOMPIENGA,Central,121,350,305,121,1,Maize 1,True
KOSSI,Central,121,350,305,121,1,Maize 1,True
KOULPÉLOGO,Central,121,350,305,121,1,Maize 1,True
KOURITENGA,Central,121,350,305,121,1,Maize 1,True
KOURWÉOGO,Central,121,350,305,121,1,Maize 1,True
KÉNÉDOUGOU,Central,121,350,305,121,1,Maize 1,True
LÉRABA,Central,121,350,305,121,1,Maize 1,True
MOUHOUN,Central,121,350,305,121,1,Maize 1,True
NAHOURI,Central,121,350,305,121,1,Maize 1,True
NAYALA,Central,121,350,305,121,1,Maize 1,True
PASSORÉ,Central,121,350,305,121,1,Maize 1,True
PONI,Central,121,350,305,121,1,Maize 1,True
SANGUIÉ,Central,121,350,305,121,1,Maize 1,True
SANMATENGA,Central,121,350,305,121,1,Maize 1,True
SISSILI,Central,121,350,305,121,1,Maize 1,True
SOUROU,Central,121,350,305,121,1,Maize 1,True
TAPOA,Central,121,350,305,121,1,Maize 1,True
TUY,Central,121,350,305,121,1,Maize 1,True
YATENGA,Central,121,350,305,121,1,Maize 1,True
ZIRO,Central,121,350,305,121,1,Maize 1,True
ZOUNDWÉOGO,Central,121,350,305,121,1,Maize 1,True
BÉNOUÉ,Central,121,305,305,121,1,Maize 1,True
DIAMARÉ,Central,121,305,305,121,1,Maize 1,True
FARO,Central,121,305,305,121,1,Maize 1,True
MAYO DANAY,Central,121,305,305,121,1,Maize 1,True
MAYO KANI,Central,121,305,305,121,1,Maize 1,True
MAYO LOUTI,Central,121,305,305,121,1,Maize 1,True
MAYO REY,Central,121,305,305,121,1,Maize 1,True
MAYO SAVA,Central,121,305,305,121,1,Maize 1,True
MAYO TSANAGA,Central,121,305,305,121,1,Maize 1,True
BAGOUÉ,Central,121,259,305,121,1,Maize 1,True
FOLON,Central,121,259,305,121,1,Maize 1,True
KABADOUGOU,Central,121,259,305,121,1,Maize 1,True
PORO,Central,121,259,305,121,1,Maize 1,True
TCHOLOGO,Central,121,259,305,121,1,Maize 1,True
WORODOUGOU,Central,121,259,305,121,1,Maize 1,True
ABNUB,Central,121,305,305,121,1,Maize 1,True
ABU HAMMAD,Central,121,305,305,121,1,Maize 1,True
ABU HUMMUS,Central,121,305,305,121,1,Maize 1,True
