ADM_NAME,maize_only_drought_days,all_crops_drought_days,diff
AADAN,10.923076923076923,10.923076923076923,0.0
ABAJI,6.730769230769231,6.730769230769231,0.0
ABAKALIKI,14.73076923076923,14.73076923076923,0.0
ABIDJAN,13.192307692307692,13.192307692307692,0.0
ABU AL-MATAMIR,2.769230769230769,2.769230769230769,0.0
ABU HAMMAD,3.6538461538461537,3.6538461538461537,0.0
ABU HUMMUS,1.4615384615384615,1.4615384615384615,0.0
ABU KABIR,1.4615384615384615,1.4615384615384615,0.0
ABU QURQAS,0.0,0.0,0.0
ABU TIJ,0.0,0.0,0.0
ABU TISHT,0.0,0.0,0.0
ABUJA,6.1923076923076925,6.1923076923076925,0.0
AD-DILINAT,2.923076923076923,2.923076923076923,0.0
ADA WEST,8.961538461538462,8.961538461538462,0.0
ADAKLU,11.807692307692308,11.807692307692308,0.0
ADO,13.76923076923077,13.76923076923077,0.0
AFGOOYE,11.384615384615385,11.384615384615385,0.0
AFIJIO,15.0,15.0,0.0
AGAGO,10.5,10.5,0.0
AGAIE,7.115384615384615,7.115384615384615,0.0
AGATU,11.923076923076923,11.923076923076923,0.0
AGBANGNIZOUN,10.384615384615385,10.384615384615385,0.0
AGEW AWI,0.15384615384615385,0.15384615384615385,0.0
AGNÉBY-TIASSA,12.923076923076923,12.923076923076923,0.0
AGOTIME ZIOPE,11.423076923076923,11.423076923076923,0.0
AGWARA,2.3076923076923075,2.3076923076923075,0.0
AINABKOI,3.769230769230769,3.769230769230769,0.0
AINAMOI,4.923076923076923,4.923076923076923,0.0
AJA,3.6538461538461537,3.6538461538461537,0.0
AJAOKUTA,10.26923076923077,10.26923076923077,0.0
AJINGI,4.8076923076923075,4.8076923076923075,0.0
AKATSI NORTH,12.038461538461538,12.038461538461538,0.0
AKATSI SOUTH,12.0,12.0,0.0
AKHMIM,0.0,0.0,0.0
AKKO,1.8461538461538463,1.8461538461538463,0.0
AL RENK,1.6538461538461537,1.6538461538461537,0.0
AL-'AMRIYAH,2.923076923076923,2.923076923076923,0.0
AL-'AYYAT,0.7307692307692307,0.7307692307692307,0.0
AL-'IDWAH,5.115384615384615,5.115384615384615,0.0
AL-'USAYRAT,0.0,0.0,0.0
AL-BADARI,0.0,0.0,0.0
AL-BAJUR,3.6538461538461537,3.6538461538461537,0.0
AL-BALIYANA,0.0,0.0,0.0
AL-BURULUS,1.4615384615384615,1.4615384615384615,0.0
AL-FASHN,5.115384615384615,5.115384615384615,0.0
AL-FAYYUM,2.8461538461538463,2.8461538461538463,0.0
AL-GANOUB,2.923076923076923,2.923076923076923,0.0
AL-GANOUB 2,1.3846153846153846,1.3846153846153846,0.0
AL-GHANAYIM,0.0,0.0,0.0
AL-HAMUL,2.923076923076923,2.923076923076923,0.0
AL-HUSAYNIYAH,0.7307692307692307,0.7307692307692307,0.0
AL-IBRAHIMIYAH,3.6538461538461537,3.6538461538461537,0.0
AL-MAHALLAH AL-KUBRA,4.384615384615385,4.384615384615385,0.0
AL-MAHMUDIYAH,1.4615384615384615,1.4615384615384615,0.0
AL-MANSHAH,0.0,0.0,0.0
AL-MANSURAH,2.9615384615384617,2.9615384615384617,0.0
AL-MANSURAH 2,3.6538461538461537,3.6538461538461537,0.0
AL-MANZILAH,3.6538461538461537,3.6538461538461537,0.0
AL-MARAGHAH,0.0,0.0,0.0
AL-MATARIYAH,4.384615384615385,4.384615384615385,0.0
AL-MINYA,2.923076923076923,2.923076923076923,0.0
AL-QANATIR AL-KHAYRIYAH,3.6538461538461537,3.6538461538461537,0.0
AL-QANAYAT,2.923076923076923,2.923076923076923,0.0
AL-QANTARAH,2.1923076923076925,2.1923076923076925,0.0
AL-QANTARAH ASH-SHARQIYAH,4.615384615384615,4.615384615384615,0.0
AL-QUSIYAH,0.0,0.0,0.0
AL-WAQF,0.0,0.0,0.0
AL-WARRAQ,3.1538461538461537,3.1538461538461537,0.0
AL-WASTA,1.2692307692307692,1.2692307692307692,0.0
ALABA,0.0,0.0,0.0
ALAOTRA-MANGORO,15.384615384615385,15.384615384615385,0.0
ALBASU,3.6923076923076925,3.6923076923076925,0.0
ALDAI,4.076923076923077,4.076923076923077,0.0
ALEGO USONGA,4.384615384615385,4.384615384615385,0.0
ALEIRO,2.3076923076923075,2.3076923076923075,0.0
ALIAB,1.9615384615384615,1.9615384615384615,0.0
ALKALERI,2.5384615384615383,2.5384615384615383,0.0
ALTO MOLOCUE,22.307692307692307,22.307692307692307,0.0
AMATONGE,11.615384615384615,11.615384615384615,0.0
AMBOIM,27.846153846153847,27.846153846153847,0.0
AMORON'I MANIA,16.115384615384617,16.115384615384617,0.0
AMOU,12.0,12.0,0.0
AMURIA,20.96153846153846,20.96153846153846,0.0
ANALAMANGA,15.423076923076923,15.423076923076923,0.0
ANAMULENGE,21.153846153846153,21.153846153846153,0.0
ANCUABE,20.0,20.0,0.0
ANDROY,17.923076923076923,17.923076923076923,0.0
ANGOCHE,21.423076923076923,21.423076923076923,0.0
ANGÓNIA,20.192307692307693,20.192307692307693,0.0
ANIÉ,12.923076923076923,12.923076923076923,0.0
ANKA,1.3846153846153846,1.3846153846153846,0.0
ANOSY,18.0,18.0,0.0
APA,12.0,12.0,0.0
APLAHOUÉ,9.26923076923077,9.26923076923077,0.0
AR-RAHMANIYAH,2.1923076923076925,2.1923076923076925,0.0
AR-RIYAD,3.1538461538461537,3.1538461538461537,0.0
ARDO-KOLA,7.730769230769231,7.730769230769231,0.0
AREWA DANDI,0.11538461538461539,0.11538461538461539,0.0
ARGUNGU,0.7307692307692307,0.7307692307692307,0.0
ARINGA,9.73076923076923,9.73076923076923,0.0
ARSI,0.0,0.0,0.0
ARUU,9.846153846153847,9.846153846153847,0.0
ARYAT,1.7692307692307692,1.7692307692307692,0.0
AS-SANTAH,3.6538461538461537,3.6538461538461537,0.0
AS-SINBILLAWAYN,3.5384615384615383,3.5384615384615383,0.0
ASA,11.346153846153847,11.346153846153847,0.0
ASANTE-AKIM NORTH,13.692307692307692,13.692307692307692,0.0
ASH-SHUHADA,3.6538461538461537,3.6538461538461537,0.0
ASHMUN,3.6538461538461537,3.6538461538461537,0.0
ASKIRA/UBA,2.1923076923076925,2.1923076923076925,0.0
ASUOGYAMAN,12.423076923076923,12.423076923076923,0.0
ASWA,9.0,9.0,0.0
AT-TALL AL-KABIR,0.0,0.0,0.0
ATEBUBU-AMANTIN,13.807692307692308,13.807692307692308,0.0
ATIBA,13.923076923076923,13.923076923076923,0.0
ATSIMO-ANDREFANA,20.153846153846153,20.153846153846153,0.0
AUGIE,1.1538461538461537,1.1538461538461537,0.0
AUYO,0.0,0.0,0.0
AWE,8.076923076923077,8.076923076923077,0.0
AWEIL,2.0384615384615383,2.0384615384615383,0.0
AWENDO,4.576923076923077,4.576923076923077,0.0
AWLAD SAQR,2.423076923076923,2.423076923076923,0.0
AWUTU SENYA WEST,13.115384615384615,13.115384615384615,0.0
AYIVU,10.26923076923077,10.26923076923077,0.0
BABATI,26.307692307692307,26.307692307692307,0.0
BABURA,0.6153846153846154,0.6153846153846154,0.0
