threshold,district,cluster
0,CHADIZA,1
0,CHAMA,2
0,CHASEFU,2
0,CHIBOMBO,1
0,CHIENGI,2
0,CHIKANKANTA,1
0,CHILANGA,1
0,CHINSALI,2
0,CHIPANGALI,0
0,CHIPATA,0
0,CHIRUNDU,1
0,CHISAMBA,1
0,CHITAMBO,0
0,CHOMA,1
0,CHONGWE,1
0,GWEMBE,1
0,ISOKA,2
0,ITEZHI-TEZHI,1
0,KABOMPO,0
0,KABWE,1
0,KAFUE,1
0,KALOMO,1
0,KALULUSHI,0
0,KANCHIBIYA,0
0,KAOMA,0
0,KAPIRI MPOSHI,1
0,KASAMA,2
0,KASEMPA,0
0,KASENENGWA,0
0,KATETE,1
0,KAZUNGULA,1
0,KITWE,0
0,LUANO,1
0,LUANSHYA,0
0,LUFWANYAMA,0
0,LUMEZI,0
0,LUNDAZI,2
0,MAFINGA,2
0,MAMBWE,0
0,MANSA,0
0,MANYINGA,0
0,MASAITI,0
0,MAZABUKA,1
0,MBALA,2
0,MKUSHI,0
0,MONZE,1
0,MPIKA,0
0,MPONGWE,0
0,MUFUMBWE,0
0,MUMBWA,1
0,MUNGWI,2
0,NAKONDE,2
0,NAMWALA,1
0,NCHELENGE,2
0,NDOLA,0
0,NKEYEMA,1
0,NYIMBA,1
0,PEMBA,0
0,PETAUKE,1
0,RUFUNSA,1
0,SENGA HILL,2
0,SERENJE,0
0,SHIBUYUNJI,1
0,SIAVONGA,1
0,SINAZONGWE,1
0,SINDA,1
0,SOLWEZI,0
0,VUBWI,0
0,ZAMBEZI,0
0,ZIMBA,1
10,CHADIZA,0
10,CHASEFU,1
10,CHIBOMBO,0
10,CHIKANKANTA,0
10,CHILANGA,0
10,CHIPANGALI,1
10,CHIPATA,0
10,CHIRUNDU,0
10,CHISAMBA,0
10,CHOMA,0
10,CHONGWE,0
10,KABWE,0
10,KALOMO,0
10,KALULUSHI,1
10,KAPIRI MPOSHI,0
10,KASENENGWA,0
10,KATETE,0
10,KITWE,1
10,LUANSHYA,1
10,LUNDAZI,1
10,MASAITI,1
10,MAZABUKA,0
10,MKUSHI,0
10,MONZE,0
10,MPONGWE,1
10,NAMWALA,0
10,NDOLA,1
10,PEMBA,2
10,PETAUKE,0
10,SHIBUYUNJI,0
10,SINDA,0
10,VUBWI,0
10,ZIMBA,0
20,CHADIZA,0
20,CHASEFU,2
20,CHIBOMBO,0
20,CHILANGA,0
20,CHIPANGALI,0
20,CHIPATA,0
20,CHISAMBA,0
20,CHOMA,0
20,CHONGWE,0
20,KABWE,0
20,KALOMO,0
20,KASENENGWA,0
20,KATETE,0
20,LUNDAZI,2
20,NDOLA,0
20,PEMBA,1
20,PETAUKE,0
20,SINDA,0
20,VUBWI,0
25,CHADIZA,0
25,CHASEFU,1
25,CHIPATA,0
25,KALOMO,2
25,KASENENGWA,0
25,KATETE,0
25,LUNDAZI,1
25,NDOLA,0
25,PETAUKE,0
25,SINDA,0
25,VUBWI,0
30,CHADIZA,1
30,CHASEFU,2
30,CHIPATA,1
30,KALOMO,0
30,KASENENGWA,1
30,KATETE,1
30,LUNDAZI,2
30,NDOLA,1
30,SINDA,1
35,CHADIZA,0
35,KALOMO,2
35,KATETE,0
35,LUNDAZI,1
35,SINDA,0
40,CHADIZA,2
40,KATETE,0
40,LUNDAZI,1
40,SINDA,0
