ADM_NAME,mean_drought_days,lisa_label,portfolio_rec
PEMBA,71.3076923076923,Not significant,STANDARD
CHILANGA,24.153846153846153,Not significant,STANDARD
KAFUE,23.96153846153846,Not significant,STANDARD
CHONGWE,22.53846153846154,Not significant,STANDARD
KASENENGWA,22.5,Not significant,STANDARD
CHIPANGALI,22.423076923076923,Not significant,STANDARD
RUFUNSA,22.346153846153847,Not significant,STANDARD
CHIRUNDU,21.76923076923077,Not significant,STANDARD
SINDA,21.76923076923077,Not significant,STANDARD
CHIPATA,21.692307692307693,Not significant,STANDARD
KAZUNGULA,21.384615384615383,Not significant,STANDARD
SHIBUYUNJI,21.192307692307693,Not significant,STANDARD
VUBWI,21.0,Not significant,STANDARD
KATETE,20.923076923076923,Not significant,STANDARD
MANSA,20.846153846153847,High-Low (isolated risk),CAUTIOUS — isolated risk
NYIMBA,20.692307692307693,Not significant,STANDARD
MAMBWE,20.53846153846154,Not significant,STANDARD
ZIMBA,20.53846153846154,Not significant,STANDARD
SIAVONGA,20.5,Not significant,STANDARD
SINAZONGWE,20.307692307692307,High-High (drought cluster),LIMIT exposure — covarying risk
CHADIZA,20.153846153846153,Not significant,STANDARD
NCHELENGE,19.76923076923077,Not significant,STANDARD
LUMEZI,19.5,Not significant,STANDARD
LUNDAZI,19.46153846153846,Not significant,STANDARD
NAMWALA,19.46153846153846,Not significant,STANDARD
PETAUKE,19.423076923076923,Not significant,STANDARD
KALOMO,19.307692307692307,Not significant,STANDARD
CHAMA,19.115384615384617,Low-High (drought surround),OPPORTUNITY — safe pocket
CHASEFU,19.0,Not significant,STANDARD
MUFUMBWE,18.923076923076923,Not significant,STANDARD
MUMBWA,18.692307692307693,Not significant,STANDARD
CHOMA,18.615384615384617,Low-Low (safe zone),PREFERRED — stable premium base
CHIENGI,18.576923076923077,Not significant,STANDARD
KASEMPA,18.46153846153846,Not significant,STANDARD
KANCHIBIYA,18.423076923076923,Low-High (drought surround),OPPORTUNITY — safe pocket
LUFWANYAMA,18.23076923076923,Not significant,STANDARD
MPONGWE,18.076923076923077,Not significant,STANDARD
CHITAMBO,18.03846153846154,Not significant,STANDARD
KITWE,18.0,Not significant,STANDARD
CHIBOMBO,18.0,Not significant,STANDARD
MASAITI,18.0,Not significant,STANDARD
SOLWEZI,17.846153846153847,Not significant,STANDARD
ITEZHI-TEZHI,17.807692307692307,Not significant,STANDARD
NDOLA,17.76923076923077,Not significant,STANDARD
KABOMPO,17.73076923076923,Not significant,STANDARD
LUANSHYA,17.653846153846153,Not significant,STANDARD
CHIKANKANTA,17.576923076923077,Not significant,STANDARD
LUANO,17.53846153846154,Not significant,STANDARD
KALULUSHI,17.46153846153846,Not significant,STANDARD
CHISAMBA,17.346153846153847,Not significant,STANDARD
SERENJE,17.307692307692307,Not significant,STANDARD
MANYINGA,17.153846153846153,Not significant,STANDARD
MAZABUKA,17.153846153846153,Not significant,STANDARD
GWEMBE,17.115384615384617,Low-Low (safe zone),PREFERRED — stable premium base
ZAMBEZI,17.076923076923077,Not significant,STANDARD
NAKONDE,16.884615384615383,Low-High (drought surround),OPPORTUNITY — safe pocket
KAPIRI MPOSHI,16.846153846153847,Low-High (drought surround),OPPORTUNITY — safe pocket
KAOMA,16.692307692307693,Not significant,STANDARD
MKUSHI,16.653846153846153,Not significant,STANDARD
KASAMA,16.53846153846154,Not significant,STANDARD
KABWE,16.5,Not significant,STANDARD
CHINSALI,16.46153846153846,Low-High (drought surround),OPPORTUNITY — safe pocket
MBALA,16.46153846153846,Not significant,STANDARD
ISOKA,16.346153846153847,Low-High (drought surround),OPPORTUNITY — safe pocket
MPIKA,16.26923076923077,Not significant,STANDARD
SENGA HILL,16.115384615384617,Low-High (drought surround),OPPORTUNITY — safe pocket
MONZE,16.03846153846154,Not significant,STANDARD
NKEYEMA,16.0,Not significant,STANDARD
MAFINGA,15.538461538461538,Not significant,STANDARD
MUNGWI,15.0,Low-High (drought surround),OPPORTUNITY — safe pocket
